% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.378	1	10	38	9	11	28	277	0
0.378	1	1	38	9	12	28	277	0
0.379	1	5	38	10	15	28	277	0
0.379	1	8	38	10	16	28	277	0
0.379	1	6	38	10	1	28	277	0
0.379	1	3	38	10	2	28	277	0
0.379	1	4	38	10	3	28	277	0
0.379	1	9	38	10	4	28	277	0
0.379	1	7	38	10	9	28	277	0
0.379	1	2	38	10	10	28	277	0
0.38	1	10	39	1	11	28	277	0
0.38	1	1	39	1	12	28	277	0
0.38	1	5	39	1	15	28	277	0
0.38	1	8	39	1	16	28	277	0
0.38	1	6	39	1	1	28	277	0
0.38	1	3	39	1	2	28	277	0
0.38	1	4	39	1	3	28	277	0
0.38	1	9	39	1	4	28	277	0
0.381	1	7	39	2	9	28	277	0
0.381	1	2	39	2	10	28	277	0
0.381	1	10	39	2	11	28	277	0
0.381	1	1	39	2	12	28	277	0
0.381	1	5	39	2	15	28	277	0
0.381	1	8	39	2	16	28	277	0
0.381	1	6	39	2	1	28	277	0
0.381	1	3	39	2	2	28	277	0
0.382	1	4	39	3	3	28	277	0
0.382	1	9	39	3	4	28	277	0
0.382	1	7	39	3	9	28	277	0
0.382	1	2	39	3	10	28	277	0
0.382	1	10	39	3	11	28	277	0
